text	sentiment	emotion
الله يبارك فيك ومشكور مع ان السهم له اعداء كثيرررررر بيعهم بخساره الا انه راجع بقوه	p	Happiness
راح يجي له يوم كل يوصي عليه الصبر مفتاح الفرج	p	Sadness
أسأل الله العظيم رب العرش العظيم ان يشفيك لابأس طهور ان شاء الله	p	Sadness
اسأل الله العلي العظيم ان يعافيك ويشافيك انه ولي ذلك والقادر عليه	p	Sadness
السهم لدية مقاومة عند 190 اي اغلاق اعلا منه يعطي السهم امل بتجاوز الـ 200 ان شاء الله	p	Happiness
الله يفرجها علينا جميعاااااااااااا	n	Sadness
جزاك الله خير وبارك الله فيك متعلق 39.90 عساه يفك التعليقه	p	Happiness
اتوقع بل أجزم ان اذا كان فيه نزول للسوق بكره يكون التامين اقل نزول واحتمال كبير ترتفع شركاته	p	Happiness
اللهم رب الناس اذهب الباس اشفي انت الشافي شفاء لا يغادر سقما عاجلا غير اجل اللهم اشف الغالي ابو نواف	p	Happiness
هذا الغريب والله يوفق ملاكه	p	Fear
أسأل الله العظيم رب العرش العظيم أن يشفي والدك شفاءً لا يغادر سقما	p	Sadness
الله كريم ان شاء الله ينتعش القطاع بعد الاصلاحات وبعد هيئة التامين وتكون هناك عداله بين حصص الشركات	p	Happiness
الله يكتب الخير لأهل الخير من أهلنا في غزة الله ينصرهم على من عاداهم ... اللهم أعد الحق لأصحابه	p	Happiness
الله لا يخسر مسلم	n	Sadness
اللهم ارزق المسلمين من واسع فضلك يا حي يا قيوم خصوصا السهمين نقيه نسال الله الرزق الحلال المبارك	p	Happiness
سال ومطاحن موارد اسهم تجمدت يارب تكون حركتهم قويه	t	Fear
أسأل الله له الشفاء	p	Sadness
والله هذا الواقع اللي،شفته وليتني استفدت من توصياتك السابقه لذلك سوف امشي مع تحليلك بارك الله فيك	p	Happiness
سبوع بالكثير تنفك تعليقتك بحول الله	p	Sadness
عسى بالأمر خير والله يييسر الأمور ويعوضنا خير	p	Sadness
. . . . الصبر مفتاح الفرج ..	p	Sadness
إن شاء الله السهم يتحرر من خانة الأربعين إلى خانة الخمسين ……،. الله كريم	p	Fear
أن شاء الله يحرك السهم إلى قمته السابقة 6.60	p	Happiness
باذن الله ان تعود	p	Sadness
بارك الله صحيح خصوصا ان من القطاع الصحي ولازال بالأرقام الضعيفه اتوقع اليوم والله العلم ابداع من نوع اخر	p	Happiness
‏إن شاء الله خير شكرًا لكم والقادم أجمل	p	Happiness
معوض خير ان شاء الله	p	Sadness
يارب يرتفع ونشوفه ينسب	p	Happiness
ان شاء الله يرفعو الفائدة افضل لمكافحه التضخم	p	Fear
التامين فيه خير. الصبر بس	p	Happiness
الله يجزاك خير يا محمد والله اني بعته بعد صبر مدة طويلة	p	Happiness
كنك صامل في كلامك يااااالمضياف	p	Happiness
توقعي الاهلي انا جربته هو افضل الموجود عيبه ليس لديهم تخفيض عموله	p	Happiness
اتمنى اليوم قبل بكرة	p	Happiness
باذن الله ناوى الاحد اليوم اخذتني الرخامه سعره اليوم كان اكبر فرصه بتاريخ اعمار	p	Sadness
رغم العاصفة الحمراء جوجي متماسك والى الأمام منطلق المهر الاصيلة ستلحق بوباء الراجحي التعاونية ....🐎....🐎🐎🐎	p	Happiness
قررت ادخل مغامرة علم على امل يصل ١٠٠٠ وابيعه	t	Fear
ياليت ينزله وناخذ اكثر	t	Fear
متى تعدي 7.50 وتطلع فوق فوق هام السحب	p	Happiness
الحمد لله الذي عافانا	n	Sadness
لا يعلم الغيب إلا الله أنا كنت اتفرج على السهم واستنى النسبة رحت للصلاة ورجعت ولقيته احمر 😂😂😂	t	Happiness
ماشاء الله اخترقها، ليتني زدت الكمية	p	Happiness
يعني نشري بالسهم ونتوكل على الله	t	Fear
اخوي النواق بارك الله فيك ممكن تعطينا خارطة الطريق ( باذن الله ) لسهم الدوائية لـ 3 سنوات استثمار	p	Happiness
توكلنا على الله اشوف فيه خير والله اعلم	p	Happiness
بارك الله فيك اقصد فيها ارتفاع سهم فيبكو = وفره انهم دائما يرتفعو مع بعض	p	Happiness
صدقت لكن قصدي بالمقارنة مع بقية اسهم القطاع الله يرزقك ويرزقنا من واسع فضله	p	Happiness
حسبت حساب الشي ذا وحاولت ادخل بجزء بسيط تحسبا لأي طاري اخترت ودخللت وسأل الله لي ولكم التوفيق	t	Happiness
والله نتمنى يالغالي ليش لا	p	Happiness
نقول يارب خلك معه يالاميررررر	p	Happiness
نتفائل خير لااعلم المدة متى ممكن يوم شهر قرن لااعلم	t	Fear
الله يغنينا عن حرامه	p	Fear
دامك قلت اسهم البيتكوين اجل الوضع 100٪	p	Happiness
ابيع ساكو وادخله لقيته محرم عند العصيمي الله يرزقنا الرزق الحلال المبارك	n	Fear
ايش هذا الخبر ان السهم ارتفع 10 فى الميه وهو باقى ما تداول	t	Fear
ماجاء في بالي نهائيا هذا الاغلاق عادتي افتح المحفظه باسعار الشركات والقاها حمراء فجأه اشوفه اخضر وربح طيب وحطيت رجلي	p	Sadness
‏هبوط حاد جدا في التضخم من 6% 100الى 3%100 ‏خلال الثلاثة أشهر الماضية	n	Sadness
ماشاء الله تبارك الله 80 ما مدانا نكتب الموضوع	p	Happiness
العروض عليها 120 مليون شي يهول العقل	n	Fear
فالكم النسب ان شاء الله	p	Happiness
لاتبيع نصيحه ...خلال سنه بالكثير ستشاهد راس مالك واكثر..	p	Happiness
يارب ربي يكتبها 250 وفوق امين	p	Happiness
ابعد عن جازادكو تحصل خير بإذن الله	p	Fear
ان شاء الله يتفاعل بكره مع خبر السماح بزراعة القمح	p	Happiness
جزاك الله خير كلام سليم والتضرع لله مفتاح الخيرات والبركات	p	Happiness
هلابك اخي الكريم ربي يرزقنا واياكم من واسع فضله اخي الكريم هدف رعاية مانزال قائماً مالم يكسر دعمه	p	Happiness
ميدغلف بارك الله فيك	p	Happiness
البنك لا بد له ان يزيد راسماله ليجاري البنوك الاخرى والنمو ألاقتصادي الحاصل وقريبا ستراه بالعشرينات باذن الله	p	Happiness
باذن الله ما يخذلنا نتابع بهدوووء	p	Happiness
الله يكتب اللي،فيه خير لنا ولكم كان احساسي في محله	p	Fear
الله يجزاكم الخير الي عنده تحليل له	t	Happiness
الارتداد غدا ان شاء الله	p	Happiness
الله يرزقنا ويرزق الجميع من واسع فضله	p	Happiness
كسر وهمي لل43.25 وبيرجع يقفل فوقها بامرالله اول الاهداف 46	p	Happiness
حطيت امر الشراء 58.5 والله يوفق الجميع	p	Happiness
فوق 45 هدف 50 بالتوفيق	p	Happiness
سهم زين قد يبدع ،، والله أعلم لم يواكب ارتفاع الشركات والسوق أقوى دعم 13.80	p	Happiness
نشوف هذا الاسبوع إن شاءالله تعالى	p	Happiness
السهم الان40.95باذن الله الى الاهداف	p	Happiness
الميزانية طيبة لاداعي للقلق	p	Happiness
ان شاء الله يثبت فوق 250,20 👍🏻	p	Happiness
هدف 18.80 19.20ان شاء الله	p	Fear
من هذي الاسهم (زين) مازال قريب من قاعه وفرصة قد لاتتكرر والله اعلم	p	Happiness
قد يكون هذا الكلام صحيح، الاسهم، القيادية قد يصيبها بعض الارتفاع باذن الله.	p	Happiness
دخلته اليوم ب76.90 ويارب رزقك وتوفيقك 🤲	p	Happiness
اسأل الله لك التوفيق والسداد	p	Happiness
إغلاق - 29.80 الهدف - 30.80 الوقف -- 28.80 بإذن الله فيه خيرررررر	p	Fear
نقول ان شاء الله نصيب ونخطي والتوفيق من الله	p	Happiness
الله يحفظك ياغالي باذن الله ماراح تندم اهم شي الصبر شوي بس ماهو كثير	p	Happiness
باذن الله الله كريم	p	Happiness
السهم حقق الدخول الصريح يا استاذنا من 27.4 والاستهداف بحول الله 31.3 ثم 33.1 ثم 36.8	p	Happiness
الله يرزق ملاكه وكل مسلم.	p	Happiness
بإنتظار الإقلاع إلى بحر ال 80 إن شاء الله مهما طالت الفترة	p	Fear
الله يرزق ملاكه ويرزق الجميع من واسع فضله	p	Happiness
بإذن الله ترتفع اسهم التجزئه أسعارها مغريه أدنى ارفعها نسبه	p	Happiness
توصيه موفقه يامنصور ننتظركم انا وولدي في الطوابق 37 و 38 متعلقين	p	Sadness
تقصد دخله الشهري بالملايين عموما هو يستاهل رجل فاهم وواقعي وانقذ التصنيع من كارثة كان ممكن تكون نهايتها الإفلاس	p	Happiness
إغلاق -18.14 الهدف --18.40----18.90 الوقف ---17.70 بإذن الله فيها خير	p	Fear
200 الى الهدف ان شاء الله	p	Happiness
نهاية التضخم ان شاء الله	p	Sadness
ما عليه خوف هذا السهم باذن الواحد الاحد تشوفه فوق ٣٠٠ لكن يبي له واحد يصبر	p	Happiness
أغلق 46.10 يستهدف ان شاء 47.30 48 وقف 45.50 اتمنى لك التوفيق	p	Happiness
لا يغلق تحت 120 واموره طيبة ان شاء الله	p	Happiness
السلام عليكم سهم الموارد اغلاق 129 وقف 126.6 الهدف تجاوز الهاي السابق وهدف اعلى بأذن الله	p	Happiness
آخر اغلاق-٣٦.٦٥ الهدف-٣٧.٥٠ الوقف-٣٦.٠٠ بإذن الله فيها خير	p	Fear
عنده مقاومه 26.10 اذا اخترقها ابشرو بالخير	p	Happiness
السهم جيد لا غبار علية في ترند صاعد لاخوف حتي لو صحح شوي 2.5 %100 لاخوف	p	Happiness
الآن (53) ونتابع عودته للصعود مرة أخرى وتجاوز الهدف وهو (53.5) بحول الله وقوته وكلا مسؤول عن قراره. تحياتي للجميع،،،	p	Fear
الاغلاق --46.35 الهدف -50.35 الوقف -43.80 بإذن الله فيه خييييييييييييييييييييييييييييييييير	p	Fear
انصح بمراقبه السهم وبقوه اعتقد ان اي ضغط ونزول للسهم غدا فرصه ثمينه الوقف كسر ١٧.١٠ بااغلاق	p	Happiness
للهُم صل وسلم على نبينا محُمد ، صلاة تغفر بها ذنوبنا وتفرج بها همومنا وتطِهر بها قلوبنا وتُستجاببهادعواتِنا.	p	Happiness
راقب 10.60 لايكسرها السهم الان في مناطق ارتداد جيدة ايجابيه تجاوز 11 هدفه 11.64	p	Happiness
يتم دعم السهم للعودة فوق 99 اتوقع يقفل فوق 100 والله اعلم	p	Happiness
لا تخاف .. يومين ولا ٣ ويكتب له الطبيب خروج	t	Happiness
طباعة وتغليف الاغلاق 15.42 دعم 15.04 اهدافه ان شاءالله 15.90 16.55 17.60 بالتوفيق تحياتي للجميع STORM21	p	Happiness
والله انك صادق لكن اذا ارتد سهم العبداللطيف باذن الله في بطنه تدبيله والعلم عندالله	p	Happiness
مشكوووووور والله يعطيك الف عافيه نتمنى ارتفاع السهم ان شاء الله والصبر مفتاح الفرج بالتوفيق يارب	p	Happiness
بالصبر ان شاءالله يرجع لك كل الخسائر واتوقع الارباح للربع الرابع ممتازة	p	Happiness
36بيجيبها ان شاءالله دامه فوق 28.80	p	Happiness
تاسي 11300 ان شاء الله تعالى	p	Happiness
جزاك الله خير اسلاك عندي بسعر اغلاق اليوم ومتامل البيع ب31 بمشيئة الله	p	Happiness
آخر إغلاق 82.90 الهدف الأول بإذن الله 87 الوقف 81	p	Fear
أهدافك ان شاءالله 34.35 36.10 38.80 40.50 43.40 45.10 دعمك المهم على اليومي 31.70 بالتوفيق	p	Happiness
اتوقع والله اعلم يوم الأحد جني ارباح للسوق وفالكم ان شاءالله الربح الوفير	p	Happiness
زودنا الكمية اليوم ونرجو من الله ان يعوضنا بربح جميل على صبرنا على هذا السهم	p	Sadness
السهم واضح انه عنده ارتداد و ما شاء الله عطى من بداية الاسبوع	p	Happiness
الي عنده صبر وداخل بمبلغ ماله حاجه فيه ان شاء الله بيعين خير ( قفل الشاشه ) .	p	Happiness
قمته 26.55 ونسبته غدآ 26.90 بالتوفيق ان شاء الله يسجلها	p	Happiness
اغلاق - 32.10 الهدف-32.70 الوقف -31.30 بإذن الله فيه خيررررر	p	Fear
باذن الله نشوف اسهم الخشاش تحقق هيات والمؤشر ينزف وراح يكون من بينهم سهم الطفره دمتو بود	p	Sadness
ليش اقرب للنزوال بالعكس السوق في مسار صاعد بشكل عام كل ما يحدث محطات تهدئه لمواصلة الصعود باذن الله	p	Happiness
والله انك فخم مستويات ١٤.٧ الى ١٥ السهم يخاف منها مرررة وش رايك لو عداها	t	Fear
وضعه حلو ليش خايف منه ؟ اشوف النموذج حلو وان شاءالله يفيدونك اكثر المحللين المختصين انا ما افتيك 😁	p	Fear
اذا ممكن تحليل سهم أبومعطي كثير صاروا يتكلون عن ايجابية السهم	t	Anger
يارب يفتح نسبه بس وخبر يعوضنااااا	p	Sadness
١٧.٣٦ نبي نلعب في نطاق ٢٠ بحول الله وقوته	p	Happiness
ركز على الشركات وختاار بعناية وجمع على دفعات شركات ليست بقليلة اتوقع لها على الاقل تدبيله	p	Happiness
75.50 هدف اول بإذن الله	p	Happiness
طول ماسهمك محافظ ع 96.80 اهدافه ان شاء الله 104 108.60 120	p	Happiness
باذن الله تشوف 23.50 قريبا السهم في قيعااااااااااان الصبر زين ياصاحبي	p	Happiness
فقط محتاج الانطلاق شارته جميل وجيد كن صبورا معه	p	Happiness
إن شاء الله يخترق 30.80 بثبات	p	Fear
ماشاء الله توصيه موفقه اذا تكرمت السهم مشتراه 47 تتوقع يوصلها	p	Happiness
ايضا بعض الاسهم البنكية كالاستثمار والعربي اسهم رابحة واسعارها متدنية وكذلك مكرر ارباح اقل من ١٠.	t	Anger
نصيحه لاتفكر بالبيع الان هدف قريب ٢٤	p	Fear
هل لديه منحة قريبة او اندماج الله أعلم اتوقع السهم له ارتفاعات قادمة والله أعلم ..	p	Happiness
شكرا لك قاعد القط مع اسيج والله يطرح البركة يهمنا بس النتيجة القادمة باذن الله	p	Happiness
عنده هدف 17.90 ريال الى 18.50 ---- بالتوفيق للجميع	p	Happiness
بارك الله فيك رشح لنا كم سهم تتوقع يكون لها ارتفاع طيب الفترة المقبلة	p	Happiness
ان شاء الله يرتد بين 16 و 17 او قبلها بشوي	p	Fear
إن شاء الله فيها زيادة الرواتب	p	Happiness
سهم المتقدمه -2330 آخر إغلاق - 37.95 الهدف 41.00 الوقف 36.90 بإذن الله فيه خير	p	Fear
سهم النهدي الان يعتبر فرصة نصيحة وليست توصية واليوم بإذن الله تعالى اخضر قفل امس على نزول ١٣٦٫٢٠	p	Happiness
بعون الله نرى ال100 ريال قريباً .	p	Happiness
ان شاء الله الهدف 42	p	Fear
يارب باقي عقودات كثير وارفع فوق يا مضارب	p	Anger
لا تخاف من الدرع يا تركي ارقد وامن قريبا التحليق الي وأحفظ ما أكتبه _____40______	p	Happiness
سيسكو ليس له عذر.... الطريق سالك الى قمم جديدة ( نراقب )	p	Happiness
الصبر نصف المكسب ،،، وبإذن الله ينفع معه	p	Happiness
ان شاء الله فوق ونسبه	p	Happiness
اهم شي سيوله للسوق وياخذ ثقه كبيره	p	Happiness
ان شاء الله يسجل قمم	p	Happiness
ان شاء الله هدف 10.50 11	p	Fear
ولكن الراجحي لاخوف عليه ويعتبر دينموا السوق وحتى لو نزل اول ما يرتد السوق برتد بالراجحي	p	Happiness
بإذن الله نتجاوز 11933	p	Fear
كيف تشوفه بكره باذن الله نستفيد	t	Happiness
ان شا الله يكون له حركة اليوم نتمنى يغلق فوق 18.50	p	Happiness
نسال الله الرزق الحلال	p	Happiness
لا تخاف السعودية مسيطرة على مزارع للارز في الهند وباكستان وتايلند ومصر وغيرها تطمنو فيه رجال من سنين يخططون ويشتغلون	p	Happiness
الله يرزق ملاك معادن والجميع من واسع فضله	p	Happiness
ان شاء الله يتجاوز 14	p	Fear
ان شاء الله فيه خير السهم لمن يصبر	p	Fear
بالعكس العقارية موعودة بمشاريع الصندوق والصندوق يملك فيها يعني سمننا في دقيقنا	p	Happiness
اغلاق --113.20 الهدف - 117.00 الوقف - 110.00 بإذن الله فيه خيييييييييييييييييييييير	p	Fear
اسعد الله اوقاتكم بكل خير اغلاق 14.16 وقف الخساره كسر 13.40 يستهدف سعرياً 15 - 16 وفالكم الربح الوفير	p	Happiness
سهم انابيب ٢٢٠٠ التوقع والله اعلم متجه ٢٠٠ريال ودليل المؤشر في الصعود الله يحقق للجميع الخير	p	Happiness
جزاكم الله خير على هذا التنبيه واخذ الحيطة والحذر وتجهيز الكاش	p	Happiness
سجل قريب من الهدف الاول 3.33 حيث سجل 3.32 واغلاق 3.30 وباذن الله لاهدافه وفقنا الله واياكم	p	Happiness
عفوا يا اخوان غلط مطبعي سهمكم يستحق 43 ريال وأكثر	p	Happiness
تم الله يوفق الطالب	p	Happiness
الله يكتب اللي فيه خير للجميع وباذن الله نشوف الراجحي فوق 94 ريال	p	Happiness
انت إيمانك بالله اولا ٠٠٠ثم قوة الاقتصاد. هذي مقومات الاستثمار الناجح ٠٠٠ مو تحت رحمة الأسواق الامريكه ٠٠	p	Happiness
سينومي سنترز - ٤٣٢١ آخر اغلاق - ١٩.٧٦ الهدف -٢٠.٥٥----٢١،٢٠ الوقف-١٨.٩٥ باذن الله فيه خير	p	Fear
الله يغننا بحلاله عن حرامه	t	Fear
السهم طيب ما عليه خوف وان شاء الله تشوف منه اللي يسرك لكن يبي له صبر	p	Happiness
باختصار اغلاق 4.29 هدف قادم 4.62 رفع وقف الخساره للاستفاده من الربح 4.17 موفقين باذن الله	p	Happiness
قصدك النسبة 76.10 ان شاء الله تتحقق	p	Fear
انصح بمراقبة شرعية الاسهم قبل الشراء رزقنا واياكم الاسهم الحلال النقيه وبارك لنا في ارزاقنا	p	Happiness
مثل ضغط مضارب المنجم لسهمه السهم مستقبلا من افضل الاسهم بالسوق والمضارب ضغط بالسهم لعل وعسى	t	Anger
بعد تعيين المدير التنفيذي الاستاذ فايز بن محفوظ ان شاء الله تعالى تتحرك الشركه	p	Happiness
لمن يصبر السهم رايح بعيد والله اعلم	p	Happiness
الله أعلم قربت الانطلاقة ان شاء الله	p	Happiness
ان شاء الله خير على السهم	p	Happiness
اتوقع له فزه اليوم السعر الان 14.80 الله يرزق ملاكه	p	Happiness
إن شاء الله سيأتي عليه الدور	p	Anger
ربي يقدم كل خير للملاك ان شاء الله	p	Happiness
من ترك شيئاً لله .. عوضه الله خيراً منه ..	p	Sadness
في تكرتشارت محلل يقول هدفه من 112 إلى 150	t	Happiness
ننتظر ارتداد الشركه بعون الله	p	Fear
من مراقبه مكثفه للسهم اتوقع سهم (((( نقي))))	p	Happiness
دامه فوق 14.30 هدفة 20 راقب هدفك وارفع وقف خسارتك	p	Happiness
احساسي ان السهم بنشوفه يوما ما فوق ال٤٠ ونندم على تركه بهالسعر والله اعلم. نلاحظ صعودة تدريجي وبدون مايلفت النظر....	p	Fear
59.5 ماعاد الا تكه ولا تدقق خلك سمح توكل على الله	t	Anger
السهم ممتاز مالم يكسر وقف الخساره	p	Happiness
بارك الله فيك ، لعل سهم البنك العربي 1080 و أماك 1322 من ضمنها	t	Happiness
الله يبارك لك جالسين نتابع السهم بهدوء	p	Happiness
الله يجزاك خيرا ممكن سهم بحر العرب	t	Happiness
جزاك الله خير مازلت بالمنجم انا كم هدفه طال عمرك	p	Happiness
تم الدخول الله يبارك لك .. كم الهدف للمستعجل .	p	Happiness
ما هي أهدافه بارك الله فيك وجزاك الله خير	t	Happiness
بارك الله فيك أخوي فهد ممكن توضيح أكثر يعني معلومه أو تحليل فني وجزاك الله خير	t	Fear
مجهود تشكر عليه وبارك الله فيك قصدك 65 صح وإلا انا غلطان	p	Happiness
الحمدالله قرارك هذا جاء بعد اغلاق السوق عشان ما يصير انهيار	p	Happiness
جزاك الله خير ورحم الله والديك ممكن ولا عليك امر الغاز والصناعات ك وبوان وفقك الله لما يحب ويرضى	p	Happiness
بارك الله فيك ، سهم أماك 1322 أملك فيه	p	Happiness
السعر برنت 83,68 عقبال 100دولار	p	Happiness
نصيحة السهم لايروح وتلحقوه فوووق الاسهم الخفيفة هي المستهدفة الآن	p	Fear
باذن الله غدا راح يولع السهم ... وهذه اهدافه القريبه والبعيده 118 124.80 131 اخوك بو تعليقه	p	Happiness
وش صاير بأسواق العالم صعود جنوني الداو 150 اخضر بالعقود اسواق اوروبا قمم تاريخيه	p	Happiness
السلام عليكم للي قلبه يرجف وخايف من بكرا إن شاء الله السوق اخضر ربيييييييييييييييييييييييييييييييييع العويدة وغيركم المعلم	p	Fear
ان شالله يقفل نسبه اليوم	p	Happiness
إغلاق - 201.40 الهدف -- 214 --- 222 --- 245 الوقف -- 182.00 بإذن الله فيه خيرررررر	p	Fear
تابع العملاق الجديد عناية المتحده قريبا	p	Happiness
بإذن الله نشوف قريبا 14 الف لهاي جديد 25 الف هل تكون الاسهم حديث المجالس	p	Happiness
سهم جبل عمر مقبل علي قفزات مع ترقب إعلان بإذن الله يكون محفزا جيد	p	Happiness
حسب مؤشر اتابعه هو يسبق مؤشرنا بالطلوع والنزول واليوم طلوعه قوي جدآ	p	Happiness
المطاحن إغلاق : 73.80 إختراق أول هدف 74.80 بعدها لنقاط التاليه 75.60 76.30 77.10 78.40 السهم يستحق المتاااااابعه ....راقبوه	p	Happiness
لايهمونكم الخزف بتشوفوه مخترق قمته السنويه عند36 ريال باذن الله	p	Happiness
من بعد الصفقه تغير سلوك السهم هاليومين صار فيه شغل وحركه غير معتاده.	t	Fear
‏سهم تكوين الرمز 1201 اختراق 14.42ريال الهدف 15.84ريال.	p	Happiness
مقاومة الاولى قريبة 50.80 الثانية 52.50 الاغلاق اعلا منها يؤهل السهم الى انطلاقة ان شاء الله ولعلها تكون قريبا	p	Happiness
اشتر فيه قبل مايطيرونه الاجانب ..	n	Anger
الله يستر ويسعد ملاكه وانا من ضمنهم	p	Fear
فالكم النسبه ان شاء الله	p	Happiness
يارب يعوود للقمه 144🟢	p	Happiness
فنان في اختياراتك لأسهم اليوم	p	Happiness
شركة جميلة والسهم في قاع للمستثمر والمضارب السعر مناسب	p	Happiness
اكسا ابرك لك تعطي منح وتوزع ارباح سنوية وشركة محترمة والتوفيق بيد رب العالمين قبل كل شى ..	p	Happiness
شغلك سليم وفاخر من الاخر للشيخ تاسي ==== خليك بالتأمين حتى لو تعرض لضغطه حاليا بطفره استمراريه للصابرين	p	Happiness
دامة فوق 61 لاتخاف ياصديقي سهمك ايجابي 💯	p	Happiness
جزاك الله خير نقول يارب	p	Happiness
ياعساك علي القوه وجزاك الله خير وحم الله والديك	p	Happiness
ان شاءالله هدفه القريب ٧٥	p	Happiness
الله يجزاك الخير يعني يمكن يوصل 10ريال وكم الوقت تقريبا	t	Happiness
العقاريه فقط ينتظرها الكثير من الامور المشجعه ..وليس العقاريات ركز	t	Happiness
بريد الخير ==دار الملاحظه شاكر مروركم الكريم والتعليق موفقين خير	p	Happiness
كل المؤشرات تقول ذلك بحول الله فالكم الخير ياملاكه	p	Happiness
وش عاد احسن من الوقت ذا للدخول اهم شي الاستقرار العام	p	Anger
يطبخ على نار هادئه وبعدها بيستوي باذن الله.. حسب خبرتي بان السهم في مرحلة التجميع وباذن الله بيسعدك..	p	Happiness
نسأل الله أن يكون القادم خيرآ على الجميع ..	p	Happiness
الله يسمع منك ويبشرك بالخير	p	Happiness
ان الله مع الصابرين باذن الله راح تفرح	p	Happiness
مشكور يابوعبدالعزيز وتوصيه موفقه وترى السهم اللي وصيت عليه سابقاً في الترتيبات الآخيره للإقلاع باين من سلوك المضارب	p	Happiness
الله يوفقه ويكثر من امثاله ويكتب لة الأجر والمثوبة	p	Happiness
بارك الله فيك، بإذن الله يعيد امجاده قايدهم.	p	Happiness
صدقت والله ماراح يولع السوق الا ابو رويجح واعتقد ان رحلته بدات	p	Happiness
صدقو العرب يوم قالو (( من صبر ظفر)) يازين الصبر	p	Happiness
الله يعطيك العافيه ويجزيك عنا خير والله يوفقك ويرزقك	p	Happiness
ثمار فيه تقدم على اوضاع الشركه	t	Fear
الله يعافيك يالغالي يعلم الله ما اعرف ابو محمد لكن الله ينفع به .	p	Happiness
ان شاءالله بكره نشوفه على 33 ريال نسبه عليا الله كريم	p	Happiness
بارك الله في علمك استاذنا الغالي	p	Happiness
باذن الله يعطيك العافيه	p	Happiness
اتحاد الخليج وميدغلف لاتخلو محفظتك من هالسهمين ان شاءالله يتصدرون التامين في قادم الايام بإذن الله فيهم تعويض للخسران بالسوق	p	Happiness
أديس أبابا بإذن الله	p	Happiness
بالتوفيق للجميع نهاية التشديد النقدي قريبا ..	p	Happiness
العقد ضخم وآثاره الإيجابية لن تظهر الا العام القادم	p	Happiness
المؤمل خير في هذه الشركه العظيمه	p	Happiness
اللهم لك الحمد كن ….شاكر ….لنعم الله 10‎%‎ تتحقق	p	Happiness
ايجابية السهم لايغلق تحت 69.20 وعندك مناطق ارتداد مناطق تعديل أو دخول تحت المستطيل الأصفر	t	Happiness
بارك الله فيك ونفع بعلمك اخوي سامر	p	Happiness
لا خوف على الواثقين بإذن الله	p	Happiness
الله يبارك لملاك الأسهم المذكوره	p	Happiness
يقول سعود بن فهد اشترو بالاسهم الرخيصه هي اللي بترتفع	p	Happiness
جزاك الله خير والله يجعلك موفق وين ما وجهت	p	Happiness
رجعنا له مرة ثانية والله يوفقنا جميعا العام الماضي اخذناه في الثمانينات وبعناه ولله الحمد فوق 140	p	Happiness
لازل السهم جيد 77.10	p	Happiness
